ASVs	Domain	Phylum	Class	Order	Family	Genus	Species
008fbb4510633c9cbb863ad3c9ff1a1b	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	uncultured	uncultured_bacterium
003359d39a33bbc96056ffca2f8eeea0	Bacteria	FCPU426					
00239852a51fda66707d959d65d65c8a	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	uncultured_bacterium
009620d35d914d5e0d3c405253dc9503	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Taibaiella	uncultured_bacterium
007d1ad5df0028226ecb04ad0115185a	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Angustibacter	
007e94cd8953795c81356c8e81430a4a	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	uncultured	uncultured_bacterium
004df70f0446ceacc681c446f0d7618e	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	
009f5e5dc01520f3fedb25c029e442e2	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	uncultured_bacterium
006a9aa05aac730645e6fdfc9a5c3aa1	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	
006e28bdea1ddb134cfc32565f889317	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	
009a13a025d9a2fc3560b2e504c3cc1c	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	uncultured_bacterium	
009528eb6e13f0f98def558862746f98	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured		
0099dfd08c8496b53b8a93a566cf174f	Bacteria	Elusimicrobiota	Lineage_IIa				
0094f7c139fb720e8bfb80ad6af816b1	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	
003a8ed605ec8912c667de5bff7abf96	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
00a53aedfd189ac730241da4b7a39e08	Bacteria	Cyanobacteria	Sericytochromatia	uncultured_bacterium			
00bd8b69d2f025ae875a9fa9b3d005f3	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast			
00bfb95ba79ce7a2d0cd659e503ae3e3	Bacteria	Chloroflexi	Anaerolineae	SBR1031	uncultured_bacterium		
00115ea4750de95f607486933c991483	Bacteria	Acidobacteriota	Blastocatellia	DS_100	uncultured_bacterium		
008f246fb48e91e24c4963f714345317	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium_Neorhizobium_Pararhizobium_Rhizobium	
008717a33d9de6cb4827f597661a6cce	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	
00c2138fd69930a92e97081e93a792fe	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast			
0050b4f294c8546c184d3c34f7947282	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae		
008f5219827b55febb09688bf976ff45	Bacteria	Chloroflexi					
007ae9224697b08e72e2a7e6eb70f154	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella	uncultured_bacterium
00c6e1abf4c72ba09296b31cd8d3b8ad	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	uncultured	uncultured_bacterium
00d5a33235f8fe3584aba3d1c1ef586b	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae		
00958b4546a097131f751b57ac33c071	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67_14	uncultured_bacterium	
0044051c68c472beacf9bc765bcdd7f0	Bacteria	Patescibacteria	WWE3				
00bbcedad8596e29686e40a37abd3818	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	uncultured	uncultured_bacterium
00ce2124a5890b7b6b57ea04fba025be	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family		
00c842cd66c50ddd176afbea37a73de0	Bacteria	Chloroflexi	JG30_KF_CM66	uncultured_bacterium			
00bc6df7af69734035e5a1ed2e8c9e27	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Oikopleura	uncultured_bacterium
00f35a6d291236f238a4f0169150741c	Bacteria	Bdellovibrionota	Oligoflexia	0319_6G20			
009f1abce2e32762da4f6b607cc29aa1	Bacteria	Planctomycetota	vadinHA49	uncultured_bacterium			
00e480a1b557c84c1237b3d5eb2fb4de	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	uncultured_bacterium	
00cdf2bbcbc99b71c03734d924876345	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	uncultured	uncultured_bacterium
00f655af7100e189663f026c27d5ad85	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	uncultured_bacterium
00a7625535c64cf792ca0ae958c5ad38	Bacteria	Proteobacteria	Gammaproteobacteria				
00a4fcec25ee23c20748035b23805c88	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	uncultured_bacterium
0069a02cb839b79a01f840c3c2c12e26	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	uncultured_bacterium	
00e1516efd5907f58ca2d85fd69692c4	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	uncultured	metagenome
00b1c1bb1819b45f55cd24c7c2bebec8	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	Candidatus_Alysiosphaera	uncultured_bacterium
00f6d3f86b0845742854ae15c6024371	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	
00cdc38d98f19a5a6d38520eb25bd54a	Bacteria	WPS_2	uncultured_bacterium				
00b0cd1f68f752970edd5f5f2f927f5a	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	uncultured	
00ab73eda3858e6ecaa1ab69e859ae36	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
00d5fe588db622c05615d25111850276	Bacteria	Latescibacterota	Latescibacteria	Latescibacterales	Latescibacteraceae	uncultured_bacterium	
0101d9f83827dbabb917b5c26f327d84	Bacteria	Firmicutes	Clostridia	Hungateiclostridiaceae			
011335ce2f2c32f9dbc16d1b8b5eb9f2	Bacteria	Elusimicrobiota	Lineage_IIb	uncultured_bacterium			
00f145918112229ddc3b2855bfb3b9d7	Bacteria	Proteobacteria					
00cb47f537c06012208892c771c9cd5e	Bacteria	Chloroflexi	TK10	uncultured_bacterium			
00d1e1ca73c52fdc00be2af5398cf2f8	Bacteria	Firmicutes	Clostridia				
00f37c71131ec98a1ef1bf4c9fd331b8	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	cvE6		
0117b754729cb0e8a2d772ebd2caaa9b	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	uncultured_bacterium	
011178a246a82ea97d44646a5ff790dc	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	uncultured		
00f8bf67e22a6298182805bbe5117d41	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae		
00ed4baf3cf7cf24ab87ebe14002797c	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured		
011218db5484737991f863a206c8551d	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb_Bin063_1	
012f8e7243e36453330f17d117df390b	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	uncultured	uncultured_bacterium
010007251161695cfcfaae66ffb78045	Bacteria	Acidobacteriota	Blastocatellia	DS_100	uncultured_bacterium		
012bf5a4d62284aa4dc1faf246ad8705	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	uncultured_bacterium
00cb296d8e778eeb690c2016c1c657f9	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	uncultured_bacterium
01242a2d960b252be4ac7df6ec2578f1	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	uncultured_bacterium	
00f12714c83b052f84f19b3c8d153087	Bacteria	Firmicutes	Clostridia	Gracilibacteraceae	Lutispora		
0132cf26b8d5b569d2fb5b1b88dc0225	Bacteria	Bacteroidota	Chlorobia	Chlorobiales	Chlorobiaceae	Prosthecochloris	
00d5b5765949f96045693a92c5d5b8b4	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	
011986c8a7b4a851908e2dd286d9d86d	Bacteria	Firmicutes	Limnochordia	Hydrogenispora	uncultured_bacterium		
0126fd4b212645e571f774c6943f53c8	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12		
0139eeccf05eb79821a21842e334099c	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum	uncultured_bacterium
0108956d474f19223fdf40072c8a23cf	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium_Neorhizobium_Pararhizobium_Rhizobium	
01222c78b6fa6a5043fcdd8d5f2d398b	Unassigned						
0105c482d80b5174610f68d378cf89fd	Bacteria	Proteobacteria	Gammaproteobacteria	R7C24			
0111b9b95757c9c27b78efb403a82a64	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	metagenome
01350d0049f7e4b87f97607502b416c7	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	uncultured	uncultured_bacterium
015368001db9aed477cc5370af587024	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum	
013251305c455e90a7072af18cb5c42f	Unassigned						
